Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Las Vegas",Weekly,"2020-01-13 00:00:00",Conventional,1.007831028,344041.28,106014.42,170664.29,683.52,66679.05,,,
"Las Vegas",Weekly,"2020-01-13 00:00:00",Organic,1.393461295,11302.87,6639.75,1720.37,0.00,2942.76,,,
"Los Angeles",Weekly,"2020-01-13 00:00:00",Conventional,1.168745427,2658007.70,1326676.53,454259.69,479988.28,397071.86,,,
"Los Angeles",Weekly,"2020-01-13 00:00:00",Organic,1.767451767,115036.20,61579.10,36845.18,4.22,16603.91,,,
Louisville,Weekly,"2020-01-13 00:00:00",Conventional,0.837634199,152561.13,99939.47,32734.68,211.24,19675.73,,,
Louisville,Weekly,"2020-01-13 00:00:00",Organic,1.495007903,4449.82,2234.31,1515.84,0.00,699.66,,,
"Miami/Ft. Lauderdale",Weekly,"2020-01-13 00:00:00",Conventional,0.923790717,1008981.52,814820.80,40783.65,4309.60,149065.58,,,
"Miami/Ft. Lauderdale",Weekly,"2020-01-13 00:00:00",Organic,1.267062785,27273.16,409.48,1503.66,0.00,25360.01,,,
Midsouth,Weekly,"2020-01-13 00:00:00",Conventional,1.069646688,3602539.50,1604970.09,1039961.24,21213.47,936392.80,,,
Midsouth,Weekly,"2020-01-13 00:00:00",Organic,1.487994143,182758.32,49609.74,44307.21,239.42,88601.00,,,
Nashville,Weekly,"2020-01-13 00:00:00",Conventional,0.842620755,283276.46,202255.30,42511.43,632.47,37877.26,,,
Nashville,Weekly,"2020-01-13 00:00:00",Organic,1.476510738,13467.39,7520.29,2686.12,0.00,3260.98,,,
"New Orleans/Mobile",Weekly,"2020-01-13 00:00:00",Conventional,0.851091628,315312.30,217204.22,19313.35,391.23,78403.51,,,
"New Orleans/Mobile",Weekly,"2020-01-13 00:00:00",Organic,1.143889348,8580.45,233.94,126.58,0.00,8219.92,,,
"New York",Weekly,"2020-01-13 00:00:00",Conventional,1.434654240,1586030.63,63642.13,907431.16,10231.58,604707.58,,,
"New York",Weekly,"2020-01-13 00:00:00",Organic,1.559111635,106657.54,24273.13,19605.49,412.10,62366.82,,,
Northeast,Weekly,"2020-01-13 00:00:00",Conventional,1.313531712,4791316.49,386180.34,2867271.53,16154.55,1521623.50,,,
Northeast,Weekly,"2020-01-13 00:00:00",Organic,1.514227797,270709.02,39335.47,39440.27,417.94,191515.35,,,
"Northern New England",Weekly,"2020-01-13 00:00:00",Conventional,1.265983017,424675.95,23023.23,340066.02,250.52,61336.19,,,
"Northern New England",Weekly,"2020-01-13 00:00:00",Organic,1.775790398,14286.35,1900.37,462.23,0.00,11923.74,,,
Orlando,Weekly,"2020-01-13 00:00:00",Conventional,0.903575623,590350.77,452142.58,14348.06,4226.98,119509.21,,,
Orlando,Weekly,"2020-01-13 00:00:00",Organic,1.164243661,21568.49,101.81,166.25,0.00,21300.43,,,
Peoria/Springfield,Weekly,"2020-01-13 00:00:00",Conventional,0.959860081,126643.11,65022.95,30006.04,3233.94,28380.18,,,
Peoria/Springfield,Weekly,"2020-01-13 00:00:00",Organic,1.690537386,3707.19,1001.00,1008.89,0.00,1697.31,,,
Philadelphia,Weekly,"2020-01-13 00:00:00",Conventional,1.202442103,568410.37,62779.17,285754.14,1504.37,218304.42,,,
Philadelphia,Weekly,"2020-01-13 00:00:00",Organic,1.365589296,36500.89,3636.39,6057.54,0.00,26806.96,,,
Phoenix/Tucson,Weekly,"2020-01-13 00:00:00",Conventional,0.715874013,1477764.51,684449.25,675665.54,5005.53,112644.20,,,
Phoenix/Tucson,Weekly,"2020-01-13 00:00:00",Organic,1.344515292,22151.63,10223.95,3814.72,0.00,8112.96,,,
Pittsburgh,Weekly,"2020-01-13 00:00:00",Conventional,1.007472935,134753.34,84475.58,16396.23,522.55,33358.98,,,
Pittsburgh,Weekly,"2020-01-13 00:00:00",Organic,1.559279703,6904.47,2297.01,6.98,0.00,4600.47,,,
Plains,Weekly,"2020-01-13 00:00:00",Conventional,1.049841284,1982879.30,1091625.71,459199.60,20597.38,411339.14,,,
Plains,Weekly,"2020-01-13 00:00:00",Organic,1.476458801,44222.36,7524.29,9567.76,31.72,27098.60,,,
Portland,Weekly,"2020-01-13 00:00:00",Conventional,1.072224301,739492.70,279753.15,321505.46,33647.94,104586.15,,,
Portland,Weekly,"2020-01-13 00:00:00",Organic,1.743288573,33584.59,7862.42,23375.81,0.00,2346.36,,,
Providence,Weekly,"2020-01-13 00:00:00",Conventional,1.567664025,73396.88,4245.51,58564.95,109.61,10476.81,,,
Providence,Weekly,"2020-01-13 00:00:00",Organic,1.480053393,3993.71,17.02,2.62,0.00,3974.07,,,
Raleigh/Greensboro,Weekly,"2020-01-13 00:00:00",Conventional,1.123605763,379161.66,160154.34,70437.51,4616.60,143953.21,,,
Raleigh/Greensboro,Weekly,"2020-01-13 00:00:00",Organic,1.517578082,19934.22,10145.23,4276.95,84.29,5427.75,,,
Richmond/Norfolk,Weekly,"2020-01-13 00:00:00",Conventional,0.945257956,308888.44,160160.25,77146.58,1115.22,70466.40,,,
Richmond/Norfolk,Weekly,"2020-01-13 00:00:00",Organic,1.451122969,14718.01,3932.60,3029.06,7.70,7748.65,,,
Roanoke,Weekly,"2020-01-13 00:00:00",Conventional,0.854140899,197990.48,122621.81,40621.29,57.01,34690.37,,,
Roanoke,Weekly,"2020-01-13 00:00:00",Organic,1.392575908,8883.87,3246.27,2573.89,0.00,3063.71,,,
Sacramento,Weekly,"2020-01-13 00:00:00",Conventional,1.267942735,484091.61,171730.52,242525.79,6265.41,63569.90,,,
Sacramento,Weekly,"2020-01-13 00:00:00",Organic,1.999445257,11787.32,3198.92,2325.38,0.00,6263.02,,,
"San Diego",Weekly,"2020-01-13 00:00:00",Conventional,1.140272996,471366.66,191273.14,148962.14,63332.60,67795.96,,,
"San Diego",Weekly,"2020-01-13 00:00:00",Organic,1.764619042,27817.80,9888.81,11414.22,12.91,6501.86,,,
"San Francisco",Weekly,"2020-01-13 00:00:00",Conventional,1.224098173,901537.56,297444.01,506000.83,9057.83,89032.05,,,
"San Francisco",Weekly,"2020-01-13 00:00:00",Organic,2.207340367,43096.56,14201.75,7027.96,9.41,21856.50,,,
Seattle,Weekly,"2020-01-13 00:00:00",Conventional,1.373047743,684250.41,218926.46,407339.81,3776.53,54207.62,,,
Seattle,Weekly,"2020-01-13 00:00:00",Organic,2.027129985,44714.97,18970.46,22703.46,3.41,3037.65,,,
"South Carolina",Weekly,"2020-01-13 00:00:00",Conventional,1.013923928,450686.84,307348.59,60337.70,1517.39,81483.16,,,
"South Carolina",Weekly,"2020-01-13 00:00:00",Organic,1.465066513,17716.16,5564.67,4165.46,43.32,7942.70,,,
"South Central",Weekly,"2020-01-13 00:00:00",Conventional,0.705514884,6547472.84,4310774.22,1132919.83,68599.28,1033733.93,,,
"South Central",Weekly,"2020-01-13 00:00:00",Organic,1.361191753,112055.20,29372.01,10490.73,1669.63,70521.88,,,
Southeast,Weekly,"2020-01-13 00:00:00",Conventional,0.920636867,5353097.93,4082921.16,336912.22,20401.41,912733.42,,,
Southeast,Weekly,"2020-01-13 00:00:00",Organic,1.267211459,183062.08,23839.98,30046.43,45.66,129128.11,,,
Spokane,Weekly,"2020-01-13 00:00:00",Conventional,1.106153742,89819.68,35067.87,37635.92,233.11,16882.78,,,
Spokane,Weekly,"2020-01-13 00:00:00",Organic,1.525919380,3541.97,896.45,1572.50,0.00,1073.02,,,
"St. Louis",Weekly,"2020-01-13 00:00:00",Conventional,1.214323518,170641.43,109800.87,10264.75,596.74,49972.77,,,
"St. Louis",Weekly,"2020-01-13 00:00:00",Organic,2.091435334,6728.05,2543.60,1756.25,0.00,2428.20,,,
Syracuse,Weekly,"2020-01-13 00:00:00",Conventional,1.121067615,86926.86,3207.35,44105.79,82.53,39531.19,,,
Syracuse,Weekly,"2020-01-13 00:00:00",Organic,1.423161498,3882.97,206.87,79.93,0.00,3596.17,,,
Tampa,Weekly,"2020-01-13 00:00:00",Conventional,0.905741895,618995.73,485606.53,18635.13,2158.65,112594.48,,,
Tampa,Weekly,"2020-01-13 00:00:00",Organic,1.119437406,19340.70,169.63,137.68,0.00,19033.39,,,
Toledo,Weekly,"2020-01-13 00:00:00",Conventional,0.819442709,154601.79,105562.34,21183.01,8782.92,19073.52,,,
Toledo,Weekly,"2020-01-13 00:00:00",Organic,1.593516891,5192.30,1748.48,1717.73,0.00,1726.09,,,
"Total U.S.",Weekly,"2020-01-13 00:00:00",Conventional,1.015297683,39045773.22,18850806.79,11662060.11,1288239.40,7242664.40,,,
"Total U.S.",Weekly,"2020-01-13 00:00:00",Organic,1.498857906,1650547.20,536822.08,425987.10,3414.38,684310.41,,,
West,Weekly,"2020-01-13 00:00:00",Conventional,0.991507833,6997405.32,2935266.31,2872516.84,145530.97,1043889.73,,,
West,Weekly,"2020-01-13 00:00:00",Organic,1.354665593,411862.94,242684.31,112013.28,948.72,56215.69,,,
"West Tex/New Mexico",Weekly,"2020-01-13 00:00:00",Conventional,0.871726454,853660.97,413259.86,117821.77,55515.95,265930.95,,,
"West Tex/New Mexico",Weekly,"2020-01-13 00:00:00",Organic,1.218184144,23432.07,5101.82,873.08,1798.49,15657.73,,,
Wichita,Weekly,"2020-01-13 00:00:00",Conventional,0.861464485,117091.58,86874.59,8076.89,282.67,21857.43,,,
Wichita,Weekly,"2020-01-13 00:00:00",Organic,1.448075241,1995.91,10.97,1408.53,2.19,574.22,,,
Albany,Weekly,"2020-01-19 00:00:00",Conventional,1.088107221,138162.91,5466.70,116507.34,309.74,15879.12,,,
Albany,Weekly,"2020-01-19 00:00:00",Organic,1.765863457,1997.48,641.67,199.04,0.00,1156.77,,,
Atlanta,Weekly,"2020-01-19 00:00:00",Conventional,0.925999515,754089.08,561605.54,77925.43,3604.58,110953.53,,,
Atlanta,Weekly,"2020-01-19 00:00:00",Organic,1.326492877,27475.36,10536.47,11379.10,0.00,5559.79,,,
Baltimore/Washington,Weekly,"2020-01-19 00:00:00",Conventional,1.293002007,944449.14,120825.16,468802.84,4661.46,350158.75,,,
Baltimore/Washington,Weekly,"2020-01-19 00:00:00",Organic,1.414413077,54668.61,914.74,5427.27,13.78,48312.83,,,
Birmingham/Montgomery,Weekly,"2020-01-19 00:00:00",Conventional,0.898625200,323079.13,254670.09,10760.78,1925.60,55722.67,,,
Birmingham/Montgomery,Weekly,"2020-01-19 00:00:00",Organic,1.376372418,6376.87,535.65,739.80,0.00,5101.42,,,
Boise,Weekly,"2020-01-19 00:00:00",Conventional,0.968096257,134435.30,84171.59,24244.54,10190.08,15829.09,,,
Boise,Weekly,"2020-01-19 00:00:00",Organic,1.623976705,3484.79,824.14,2117.05,3.64,539.96,,,
Boston,Weekly,"2020-01-19 00:00:00",Conventional,1.318731883,642863.58,32003.69,472712.45,2323.55,135823.89,,,
Boston,Weekly,"2020-01-19 00:00:00",Organic,1.647372805,24236.09,203.49,2045.45,0.00,21987.15,,,
Buffalo/Rochester,Weekly,"2020-01-19 00:00:00",Conventional,1.062817729,198819.92,10019.94,71906.49,261.31,116632.19,,,
Buffalo/Rochester,Weekly,"2020-01-19 00:00:00",Organic,1.311656698,12319.04,409.42,133.01,0.00,11776.61,,,
California,Weekly,"2020-01-19 00:00:00",Conventional,1.111105584,6293851.11,2475841.84,2257553.78,812741.59,747705.03,,,
California,Weekly,"2020-01-19 00:00:00",Organic,1.874087212,230372.97,83332.73,75039.48,30.26,71966.72,,,
Charlotte,Weekly,"2020-01-19 00:00:00",Conventional,1.006898286,355602.72,146161.01,53325.84,1999.13,154116.74,,,
Charlotte,Weekly,"2020-01-19 00:00:00",Organic,1.693833954,13349.06,1967.11,3715.49,50.75,7615.71,,,
Chicago,Weekly,"2020-01-19 00:00:00",Conventional,1.326466667,755580.95,154715.78,394793.42,112011.27,94060.48,,,
Chicago,Weekly,"2020-01-19 00:00:00",Organic,1.667204313,53324.87,1550.70,42562.78,0.00,9209.51,,,
Cincinnati/Dayton,Weekly,"2020-01-19 00:00:00",Conventional,0.822500571,349718.29,232747.40,58446.51,33740.06,24784.33,,,
Cincinnati/Dayton,Weekly,"2020-01-19 00:00:00",Organic,1.506995954,15036.38,9810.40,4027.33,0.00,1198.66,,,
Columbus,Weekly,"2020-01-19 00:00:00",Conventional,0.747294327,281503.59,188763.51,57664.71,7427.41,27647.96,,,
Columbus,Weekly,"2020-01-19 00:00:00",Organic,1.612788143,9707.03,4659.11,3653.42,0.00,1394.50,,,
"Dallas/Ft. Worth",Weekly,"2020-01-19 00:00:00",Conventional,0.657698427,1602980.22,1002662.96,344931.06,10710.66,244667.98,,,
"Dallas/Ft. Worth",Weekly,"2020-01-19 00:00:00",Organic,1.418903399,30731.60,8901.52,1566.68,323.99,19933.74,,,
Denver,Weekly,"2020-01-19 00:00:00",Conventional,0.890025973,1023467.69,347969.87,509525.10,14030.65,151942.07,,,
Denver,Weekly,"2020-01-19 00:00:00",Organic,0.999523665,163050.91,140876.08,17162.53,0.00,5012.31,,,
Detroit,Weekly,"2020-01-19 00:00:00",Conventional,0.899171274,563274.38,259346.42,114831.81,117042.92,72052.29,,,
Detroit,Weekly,"2020-01-19 00:00:00",Organic,1.561725387,16049.68,6707.79,3575.40,0.00,5766.49,,,
"Grand Rapids",Weekly,"2020-01-19 00:00:00",Conventional,1.210759548,212750.33,4773.50,81158.84,105392.79,21425.20,,,
"Grand Rapids",Weekly,"2020-01-19 00:00:00",Organic,1.634789541,3765.08,67.60,878.09,0.00,2819.40,,,
"Great Lakes",Weekly,"2020-01-19 00:00:00",Conventional,0.993125634,4285654.51,1680030.40,1474355.38,610117.01,521150.77,,,
"Great Lakes",Weekly,"2020-01-19 00:00:00",Organic,1.614088600,156051.64,44129.46,71570.29,58.34,40291.65,,,
Harrisburg/Scranton,Weekly,"2020-01-19 00:00:00",Conventional,1.062048187,337628.04,67273.59,163757.35,966.04,105631.07,,,
Harrisburg/Scranton,Weekly,"2020-01-19 00:00:00",Organic,1.063145303,21937.75,1294.18,407.92,0.00,20235.65,,,
Hartford/Springfield,Weekly,"2020-01-19 00:00:00",Conventional,1.457099861,300217.70,9408.78,231654.36,1112.81,58041.75,,,
Hartford/Springfield,Weekly,"2020-01-19 00:00:00",Organic,1.662874828,20432.73,2207.20,9164.90,0.00,9060.63,,,
Houston,Weekly,"2020-01-19 00:00:00",Conventional,0.555736538,1444247.86,943055.33,373243.48,882.90,127064.25,,,
Houston,Weekly,"2020-01-19 00:00:00",Organic,1.627284851,7406.44,6457.01,265.35,0.00,684.08,,,
Indianapolis,Weekly,"2020-01-19 00:00:00",Conventional,0.814434021,308635.93,181168.23,77401.65,14486.65,35579.39,,,
Indianapolis,Weekly,"2020-01-19 00:00:00",Organic,1.541757968,7197.58,3470.46,1917.03,0.00,1810.08,,,
Jacksonville,Weekly,"2020-01-19 00:00:00",Conventional,0.911856932,249898.84,195608.06,9034.80,1122.61,44131.42,,,
Jacksonville,Weekly,"2020-01-19 00:00:00",Organic,1.328164577,7500.94,57.25,140.59,0.00,7303.10,,,
"Las Vegas",Weekly,"2020-01-19 00:00:00",Conventional,0.776777454,486339.45,128936.80,291622.98,796.11,64982.63,,,
"Las Vegas",Weekly,"2020-01-19 00:00:00",Organic,1.390186796,12034.32,7541.29,2240.77,0.00,2252.25,,,
"Los Angeles",Weekly,"2020-01-19 00:00:00",Conventional,1.006113644,3024955.75,1318123.17,729974.41,612322.57,364531.83,,,
"Los Angeles",Weekly,"2020-01-19 00:00:00",Organic,1.745198273,106728.17,49343.25,39089.30,12.67,18280.11,,,
Louisville,Weekly,"2020-01-19 00:00:00",Conventional,0.850607914,151078.39,96391.68,35340.03,266.56,19080.12,,,
Louisville,Weekly,"2020-01-19 00:00:00",Organic,1.616475147,3595.07,1357.90,1550.26,0.00,686.91,,,
"Miami/Ft. Lauderdale",Weekly,"2020-01-19 00:00:00",Conventional,0.936274285,1028390.29,836410.61,32472.23,5325.31,154181.19,,,
"Miami/Ft. Lauderdale",Weekly,"2020-01-19 00:00:00",Organic,1.340909565,23341.60,351.37,789.36,0.00,22200.88,,,
Midsouth,Weekly,"2020-01-19 00:00:00",Conventional,1.032621595,3931193.93,1750851.45,1005704.92,20861.23,1153775.39,,,
Midsouth,Weekly,"2020-01-19 00:00:00",Organic,1.498486598,175110.24,44961.61,38328.64,394.38,91425.61,,,
Nashville,Weekly,"2020-01-19 00:00:00",Conventional,0.833196026,311882.68,244819.64,25542.03,339.74,41181.28,,,
Nashville,Weekly,"2020-01-19 00:00:00",Organic,1.595743335,9519.58,4147.07,2607.03,0.00,2765.48,,,
"New Orleans/Mobile",Weekly,"2020-01-19 00:00:00",Conventional,0.896593803,334388.25,222723.07,21023.80,442.94,90198.44,,,
"New Orleans/Mobile",Weekly,"2020-01-19 00:00:00",Organic,1.151197626,7855.03,321.97,24.75,0.00,7508.32,,,
"New York",Weekly,"2020-01-19 00:00:00",Conventional,1.425442082,1575439.31,67548.54,973851.23,17300.22,516721.33,,,
"New York",Weekly,"2020-01-19 00:00:00",Organic,1.432825415,137273.54,40177.12,26213.35,18.41,70864.66,,,
Northeast,Weekly,"2020-01-19 00:00:00",Conventional,1.248137754,5120373.85,404234.75,3267036.34,26564.71,1422487.58,,,
Northeast,Weekly,"2020-01-19 00:00:00",Organic,1.438475980,319830.52,66956.67,52766.40,20.67,200086.78,,,
"Northern New England",Weekly,"2020-01-19 00:00:00",Conventional,0.983384921,617654.05,22933.65,542463.62,397.82,51858.96,,,
"Northern New England",Weekly,"2020-01-19 00:00:00",Organic,1.859634678,11702.26,1546.97,429.68,0.00,9725.61,,,
Orlando,Weekly,"2020-01-19 00:00:00",Conventional,0.889466712,611178.16,436068.71,51801.72,5656.84,117569.21,,,
Orlando,Weekly,"2020-01-19 00:00:00",Organic,1.265445791,18022.90,139.13,54.77,0.00,17829.00,,,
Peoria/Springfield,Weekly,"2020-01-19 00:00:00",Conventional,0.942992278,133424.65,54363.91,53576.43,3609.94,21874.38,,,
Peoria/Springfield,Weekly,"2020-01-19 00:00:00",Organic,1.791584418,2993.46,728.49,825.81,0.00,1439.15,,,
Philadelphia,Weekly,"2020-01-19 00:00:00",Conventional,1.162731359,567776.68,60448.52,277416.34,2480.30,227399.16,,,
Philadelphia,Weekly,"2020-01-19 00:00:00",Organic,1.298155695,45060.05,7481.04,8661.23,0.00,28917.77,,,
Phoenix/Tucson,Weekly,"2020-01-19 00:00:00",Conventional,0.695277945,1572092.55,604057.88,851076.93,3546.17,113410.62,,,
Phoenix/Tucson,Weekly,"2020-01-19 00:00:00",Organic,1.342868917,24442.45,10166.70,6036.80,0.00,8238.96,,,
Pittsburgh,Weekly,"2020-01-19 00:00:00",Conventional,1.004965166,139447.62,77192.49,27920.76,415.45,33918.92,,,
Pittsburgh,Weekly,"2020-01-19 00:00:00",Organic,1.462870815,7687.61,3710.85,8.41,0.00,3968.34,,,
Plains,Weekly,"2020-01-19 00:00:00",Conventional,0.996798471,2083679.47,1020422.51,678473.50,28821.71,355961.74,,,
Plains,Weekly,"2020-01-19 00:00:00",Organic,1.408788666,60818.30,27940.89,9868.26,27.05,22980.21,,,
Portland,Weekly,"2020-01-19 00:00:00",Conventional,1.008842977,676063.89,316566.45,270928.91,27166.88,61401.65,,,
Portland,Weekly,"2020-01-19 00:00:00",Organic,1.724314054,35829.91,12694.66,21439.51,0.00,1695.75,,,
Providence,Weekly,"2020-01-19 00:00:00",Conventional,1.506314027,80191.68,6814.37,63333.56,187.84,9855.91,,,
Providence,Weekly,"2020-01-19 00:00:00",Organic,1.645515196,3580.23,11.79,1.31,0.00,3567.13,,,
Raleigh/Greensboro,Weekly,"2020-01-19 00:00:00",Conventional,1.003565727,436188.48,176123.44,60729.64,4565.58,194769.82,,,
Raleigh/Greensboro,Weekly,"2020-01-19 00:00:00",Organic,1.562737688,18631.10,9109.63,3681.95,211.42,5628.10,,,
Richmond/Norfolk,Weekly,"2020-01-19 00:00:00",Conventional,0.923028067,331806.76,170356.72,79630.17,1141.70,80678.16,,,
Richmond/Norfolk,Weekly,"2020-01-19 00:00:00",Organic,1.437103613,13310.05,6602.06,2487.89,6.58,4213.52,,,
Roanoke,Weekly,"2020-01-19 00:00:00",Conventional,0.885938846,195179.80,117777.48,44801.96,23.75,32576.61,,,
Roanoke,Weekly,"2020-01-19 00:00:00",Organic,1.526617800,7433.15,2595.40,2009.05,0.00,2828.70,,,
Sacramento,Weekly,"2020-01-19 00:00:00",Conventional,1.238254199,515303.66,169315.21,266538.50,10186.52,69263.43,,,
Sacramento,Weekly,"2020-01-19 00:00:00",Organic,2.022275356,11970.76,3086.89,2376.91,0.00,6506.97,,,
"San Diego",Weekly,"2020-01-19 00:00:00",Conventional,0.863468106,589366.22,189149.40,257451.50,81559.89,61205.43,,,
"San Diego",Weekly,"2020-01-19 00:00:00",Organic,1.731852780,24563.02,6439.02,12486.98,12.91,5624.11,,,
"San Francisco",Weekly,"2020-01-19 00:00:00",Conventional,1.585709253,802122.65,257214.50,430050.57,16112.78,98741.96,,,
"San Francisco",Weekly,"2020-01-19 00:00:00",Organic,2.220556428,45240.58,14571.45,7353.12,1.34,23314.66,,,
Seattle,Weekly,"2020-01-19 00:00:00",Conventional,1.237332670,606618.79,289530.23,271671.54,3274.66,42142.35,,,
Seattle,Weekly,"2020-01-19 00:00:00",Organic,1.573537471,81817.35,18628.20,61625.34,10.21,1553.61,,,
"South Carolina",Weekly,"2020-01-19 00:00:00",Conventional,0.971873383,482670.36,330518.09,50683.95,1552.36,99915.95,,,
"South Carolina",Weekly,"2020-01-19 00:00:00",Organic,1.519852735,17157.87,3847.16,4700.15,91.01,8519.54,,,
"South Central",Weekly,"2020-01-19 00:00:00",Conventional,0.632398179,7002657.81,4817992.06,1136574.14,65451.93,980673.05,,,
